,en,vi
38,the case of the deputy director being accused of 'inconsistency' in district 12: extended to cover?.,vụ_phó gđ bị tố ' tiền hậu bất_nhất ' ở quận 12 : kéo_dài để bao_che ? .
39,the mistress was bitter because she was tricked by her mistress into a 'spectacular' shot.,bồ_nhí cay_đắng vì bị vợ_chồng nhân_tình lừa một cú ' ngoạn_mục ' .
40,can a deceased husband name the house with his wife?,chồng đã mất có được đứng_tên nhà_đất cùng vợ ? .
41,"from 12/02/2018, collect the 'blue sea' before delivering the car to the auction buyer.","từ 12/02/2018 , thu_hồi ' biển xanh ' trước khi giao xe cho người mua đấu_giá ."
42,mr. doan ngoc hai still resolutely resigned.,ông đoàn ngọc hải vẫn kiên_quyết xin từ_chức .
43,vi by bailiff is not valid as notarization.,vi bằng_thừa_phát lại không có giá_trị như công_chứng .
44,social news 7/18.,tin xã_hội 7/18 .
45,"sa pa lao cai: people accuse the government of land recovery, inadequate compensation.","sa_pa lào cai : dân tố chính_quyền thu_hồi đất , đền_bù không thỏa_đáng ."
46,"selling a car is not required to notify the police from february 12, 2018.",bán xe không phải thông_báo với công_an từ 12/2/2018 .
47,the driver hangs a arequest for help' banner when passing the can tho - phung hiep bot station.,tài_xế treo băng rôn ' cầu_cứu ' khi qua trạm bot cần_thơ - phụng hiệp .
48,from 12/2: selling a car is not required to notify the police.,từ 12/2 : bán xe không phải thông_báo với công_an .
49,"goalkeeper bui tien dung received more ""bad news"" from flc thanh hoa.",thủ_môn bùi tiến_dũng nhận thêm ' tin dữ ' từ flc thanh_hóa .
50,"returning to their hometown to eat late at the end of the year, all 4 members of the family drowned tragically.","về quê ăn_chạp họ cuối năm , cả 4 người trong gia_đình đuối nước thương_tâm ."
51,portrait of a russian pilot killed by terrorists.,chân_dung phi_công nga bị quân khủng_bố sát_hại .
52,the sea games champion alone fighting cancer called for help.,nhà vô_địch sea games một_mình chống_chọi bệnh ung_thư kêu_cứu .
53,sentencing pvp land: trinh xuan thanh was sentenced to life in prison.,tuyên_án pvp land : trịnh xuân_thanh lãnh án chung_thân .
54,"great, tearful and meaningful day of gratitude for u23 vietnam.","tuyệt_vời , ngày tri_ân đầy nước_mắt và ý_nghĩa cho u23 việt nam ."
55,"cannot believe how muddy and promiscuous of the ""quiet consort"" ha duc chinh on thong nhat yard.",không_thể tin nổi độ lầy và lăng_nhăng của ' quý_phi ' hà đức chinh trên sân thống_nhất .
56,revealing the salary of goalkeeper bui tien dung at flc thanh hoa.,lộ mức lương của thủ_thành bùi tiến_dũng tại flc thanh_hóa .
57,the thousand-year-old tomb of the 'egyptian princess'.,ngôi mộ cổ hàng nghìn năm của ' công_chúa ai cập ' .
58,you want to date: she wants to 'guide' her boyfriend when falling in love because of more love experience.,bạn muốn hẹn_hò : cô nàng muốn ' hướng_dẫn ' bạn trai khi yêu_vì kinh_nghiệm tình_trường nhiều hơn .
59,touched the moment the dog ran after the flower car 6km to see the owner back to her husband's house.,cảm_động khoảnh_khắc chú chó chạy theo xe hoa 6 km để tiễn cô chủ về nhà chồng .
60,portrait of a beautiful mc who speaks english like the wind in a conversation with xuan truong player.,chân_dung mc xinh_đẹp nói tiếng anh như gió trong buổi trò_chuyện với cầu_thủ xuân_trường .
61,what does le quyen say about the rumor of earning about 68 billion vnd a year?.,lệ_quyên nói gì về tin_đồn kiếm khoảng 68 tỷ đồng một năm ? .
62,phu yen: investigate a series of officials aiding in deforestation.,phú yên : điều_tra hàng_loạt quan_chức tiếp_tay phá rừng .
63,there are still limitations in complying with the provisions of tax laws.,còn hạn_chế trong chấp_hành các quy_định của pháp_luật về thuế .
64,the power of the gangster boss part 3: family tragedy.,quyền_lực của ông trùm xã_hội đen kỳ 3 : bi_kịch gia_đình .
65,"samsung display vietnam proposes to merge 3 investment phases, what does the ministry of finance say?.","samsung display việt nam kiến_nghị hợp_nhất 3 giai_đoạn đầu_tư , bộ tài_chính nói gì ? ."
66,should be fair income tax.,nên công_bằng thuế thu_nhập .
67,cannot forget the 'extraction of family background'.,không_thể bỏ_quên ' chiết trừ gia_cảnh ' .
68,"from february 2018, swimming in seaports can be fined up to 300,000 vnd.","từ tháng 2/2018 , bơi_lội trong cảng biển có_thể bị phạt đến 300.000 đồng ."
69,many policies take effect in february.,nhiều chính_sách có hiệu_lực trong tháng 2_.
70,four new business-related policies took effect from february 2018.,bốn chính_sách mới liên_quan đến doanh_nghiệp có hiệu_lực từ tháng 2/2018 .
71,many important policies took effect from february 2018.,nhiều chính_sách quan_trọng có hiệu_lực thi_hành từ tháng 2-2018 .
72,the new policies take effect from february 2018.,những chính_sách mới có hiệu_lực từ tháng 2/2018 .
73,"vff did not intervene, u23 vietnam divided itself 29 billion prize money before tet.","vff không can_thiệp , u23 việt nam tự chia 29 tỷ tiền thưởng trước tết ."
74,"u23 vietnam is entitled to ""self-treat"" the bonus, still having to pay income tax.","u23 việt nam được ' tự_xử ' tiền thưởng , vẫn phải đóng thuế thu_nhập ."
75,u23 vietnam will self-divide more than 20 billion prize money after achievements at u23 asia?.,u23 việt nam sẽ tự chia hơn 20 tỷ tiền thưởng sau thành_tích tại u23 châu_á ? .
76,8 outstanding policies effective from february 2018.,8 chính_sách nổi_bật có hiệu_lực từ tháng 2/2018 .
77,the new policy takes effect in february 2018 part 1.,chính_sách mới có hiệu_lực trong tháng 2-2018_phần 1_.
78,u23 vietnam received a 'terrible' bonus but did not have to pay pit.,u23 việt nam nhận thưởng ' khủng ' nhưng không phải nộp thuế tncn .
79,do not let today's success be your ultimate success.,đừng để thành_công hôm_nay là thành_công sau cuối .
80,general department of taxation: no tax on gifts for u23 players in vietnam.,tổng_cục thuế : không thu thuế tiền thưởng diện quà tặng cho cầu_thủ u23 việt nam .
81,"receiving a record bonus, u23 vietnam does not have to pay personal income tax.","nhận thưởng kỷ_lục , u23 việt nam không phải nộp thuế thu_nhập cá_nhân ."
82,vff has not received all the bonuses that manh thuong quan promised to give vietnam u23.,vff chưa nhận được hết tiền thưởng các mạnh_thường_quân hứa tặng u23 việt nam .
83,u23 vietnam is rewarded 3 times more than winning the aff cup 2008.,u23 việt nam được thưởng nhiều gấp 3 lần vô_địch aff cup 2008 .
84,what tax rate applies to foreign investors?,thuế_suất nào áp_dụng cho nhà_đầu_tư ngoại .
85,the prize money for u23 vietnam exceeded 23 billion vnd.,tiền thưởng u23 việt nam vượt mốc 23 tỷ đồng .
86,the prize money for u23 vietnam exceeded 1 million usd.,tiền thưởng cho u23 việt nam vượt mốc 1 triệu usd .
87,"calculating personal income tax: reduce revenue loss, tax evasion than increase tax.","tính thuế thu_nhập cá_nhân : giảm thất_thu , trốn_thuế hơn tăng thuế ."
88,see the picturesque italian village with a house price of just 1 euro.,ngắm ngôi làng italy đẹp như tranh với giá nhà chỉ 1 euro .
89,how much income tax does the u23 vietnam team have to pay?,đội_tuyển u23 việt nam phải nộp thuế thu_nhập bao_nhiêu ? .
90,this italian village is selling a house for only 1 usd to increase the population.,ngôi làng italy rao bán nhà chỉ 1 usd để tăng dân_số .
91,increasing business costs: is it really a concern?.,tăng chi_phí doanh_nghiệp : có thực_sự đáng lo ? .
92,"receiving the 'raing of regular money, how will vietnam u23 players pay taxes?.","đón_nhận ' cơn mưa ' tiền thường , các cầu_thủ u23 việt nam sẽ nộp thuế như thế_nào ? ."
93,buy a house for less than a cup of coffee in italy.,mua nhà với giá rẻ hơn 1 cốc cà_phê tại italy .
94,this beautiful town in italy has 200 houses for sale for one pound.,thị_trấn xinh_đẹp ở italy rao bán 200 căn nhà với giá một bảng .
95,procedures for transferring apartments.,thủ_tục chuyển_nhượng căn_hộ chung_cư .
96,vietlott lottery: the owner of the lottery ticket issued in can tho has not yet received a reward of 105 billion vnd.,xổ_số vietlott : chủ_nhân tờ vé_số phát_hành tại cần_thơ vẫn chưa đến lĩnh thưởng 105 tỷ đồng .
97,"shocked town in italy for sale hundreds of houses for just over 27,000 vnd.",sửng_sốt thị_trấn ở italia rao bán hàng trăm căn nhà giá chỉ hơn 27 nghìn đồng .
98,'fish' or 'fishing rod'?.,' cá ' hay ' cần_câu ' ? .
99,the italian town has hundreds of homes for sale for as little as $1.,thị_trấn ý rao bán hàng trăm căn nhà với giá vỏn_vẹn 1 usd .
100,vietnam should change the 'tax paying culture'.,việt nam nên đổi ' văn_hóa đóng thuế ' .
101,do not let businesses have to grope in the process of 'socializationg.,đừng để doanh_nghiệp phải mò_mẫm trong tiến_trình ' xã_hội_hóa_' .
102,this italian town has 200 homes for sale for just over $1.,thị_trấn ở ý rao bán 200 căn nhà với giá chỉ hơn 1 usd .
103,handling reflections of people's petitions in the field of tax and customs.,xử_lý phản_ánh kiến_nghị của người dân trong lĩnh_vực thuế và hải_quan .
104,the italian town for sale houses for ... 1 usd.,thị_trấn ý rao bán nhà giá ... 1 usd .
105,answer compensation for breach of apartment purchase and sale contract.,giải_đáp tiền bồi_thường do vi_phạm hợp_đồng mua_bán căn_hộ .
106,special economic zones will enjoy a series of tax incentives.,các đặc_khu kinh_tế sẽ được ưu_đãi một loạt sắc_thuế .
107,remove problems with regulations on accounting for the difference between buying prices of gold and foreign currencies.,"gỡ vướng quy_định về hạch_toán chi_phí chênh_lệch giữa giá mua vàng , ngoại_tệ ."
108,what requirements do vietnamese over 21 years old need to enter a casino?,người việt trên 21 tuổi cần yêu_cầu nào để vào chơi casino ? .
109,how much income vietnamese people have per month can play casino?.,người việt có thu_nhập bao_nhiêu mỗi tháng có_thể chơi casino ? .
110,"two months of tax refund is more than 3,300 billion.",hai tháng hoàn thuế được hơn 3.300_tỉ đồng .
111,it is recommended that individuals and business households borrow money to deduct tax expenses.,"đề_nghị cho cá_nhân , hộ kinh_doanh vay tiền được khấu_trừ chi_phí thuế ."
112,pilot tax inspection by electronic method.,thí_điểm thanh_tra thuế bằng phương_pháp điện_tử .
113,enterprises face difficulties because the interest rate is controlled.,doanh_nghiệp gặp khó vì bị khống_chế tỷ_lệ lãi vay .
114,the series of never-before-seen classic behind-the-scenes photos of 'journey to the west 1986'.,loạt ảnh hậu_trường kinh_điển chưa bao_giờ tiết_lộ của ' tây du_ký 1986_' .
115,fdi enterprises evade taxes: the problem is not unique to vietnam.,doanh_nghiệp fdi trốn_thuế : vấn_nạn không riêng của việt nam .
116,7 interesting tips with jeans girls should know.,7 mẹo thú_vị với quần jeans bạn gái nên biết .
117,the prime minister answered questions about construction tax on gratitude houses.,thủ_tướng trả_lời chất_vấn về thuế xây_dựng đối_với nhà_tình_nghĩa .
118,tax incentives for smes: reducing the weight on the 'backbone' of the economy.,ưu_đãi thuế cho dnnvv : giảm sức_nặng lên ' xương_sống ' của nền kinh_tế .
119,"for a long time without taking bikini photos, ngoc trinh suddenly reappeared full of benefits.","lâu ngày không chụp hình bikini , ngọc trinh bất_ngờ tái_xuất đầy lợi_hại ."
120,"swans swim close to the shore of sword lake, people enjoy watching.","thiên_nga bơi sát bờ hồ gươm , người dân thích_thú ngắm nhìn ."
121,"this is a 'cheap' way to treat acne and whiten skin to celebrate tet of a young girl, daughter must try it now.","đây là cách trị mụn và làm trắng da ' rẻ bèo ' đón tết của cô gái trẻ , con_gái ơi phải thử ngay thôi ."
122,mc thien vu: leading the exchange of the u23 vietnam team in ho chi minh city was an unforgettable experience.,mc thiên_vũ : dẫn_dắt giao_lưu đội_tuyển u23 việt nam tại tp.hcm là một trải_nghiệm khó quên .
123,italian village for sale house for 1.25 usd.,"làng italy rao bán nhà giá 1,25 usd ."
124,this italian country town is selling a house for $ 1 to attract residents.,thị_trấn miền quê nước ý rao bán nhà giá 1 usd để hút cư_dân .
125,"30 of the most colorful natural destinations in the world, where have you been?","30 điểm đến tự_nhiên giàu màu_sắc nhất trên thế_giới , bạn đã đi được những đâu ? ."
126,part 1.,phần 1_.
127,the italian seaside town has hundreds of homes for sale for $1.,thị_trấn biển italy rao bán hàng trăm căn nhà với giá 1 usd .
128,see the top-notch rolls-royce bespoke in 2017.,ngắm những chiếc rolls-royce bespoke đỉnh_cao trong năm 2017 .
129,cagliari - juventus: coach allegri should not let the players lose focus.,cagliari - juventus : hlv allegri đừng để các cầu_thủ mất tập_trung .
130,"the 'ghost' of secession still exists, threatening europe in 2017.","' bóng_ma ' ly_khai vẫn hiện_hữu , đe_dọa châu_âu trong năm 2017 ."
131,"serie a: icardi scored twice, putting inter at the top of the table.","serie a : icardi ghi cú đúp , đưa inter lên đầu_bảng ."
132,where 80 years old is still... young.,ở nơi 80 tuổi vẫn còn là ... trẻ .
133,the secret dating place of the kings and queens of the world.,"chốn hẹn_hò bí_mật của các ông hoàng , bà_chúa trên thế_giới ."
134,visitors will be fined more than 4000 usd if taking sand and shells from this island to bring home.,du_khách sẽ bị phạt hơn đến 4000 usd nếu lấy cát và vỏ_sò ở hòn đảo này mang về nhà .
135,"bringing sea sand home, tourists are fined 26 million vnd.","mang cát biển về nhà , du_khách bị phạt 26 triệu đồng ."
136,india: large lightning kills more than 30 people.,ấn độ : sét lớn làm hơn 30 người thương_vong .
137,dozens of people working in the fields were killed by lightning.,hàng chục người đang làm_việc ngoài đồng bị sét đánh_chết .
138,half of italy's capital rome lacks running water.,một nửa thủ_đô rome của italy thiếu nước sinh_hoạt .
139,mu - mourinho buys striker: why is morata the top book?,mu - mourinho mua tiền_đạo : vì_sao morata là thượng_sách ? .
140,"real juventus c1 cup final: ronaldo gave birth to twins, received the no.","chung_kết cúp c1 real juventus : ronaldo bồ đẻ_sinh_đôi , nhận danh_vị số 1_."
141,food for a healthy heart and brain.,thực_phẩm cho tim và não khỏe .
142,bac quang ha giang: people are tired of waiting for the road to continue.,bắc quang hà giang : dân mòn_mỏi mong đường tiếp_tục được làm .
143,ordering a car in vietnam: dealers always take the advantage and avoid compensation.,"đặt mua ôtô tại vn : đại_lý luôn nắm phần lợi , né_tránh bồi_thường ."
144,the 'ghost' with the name 'inbreeding' in the village of kon k'own.,con ' ma_' có tên ' cận huyết ' ở làng kon k'riêng .
145,unique lucky money gift from nghe doctor.,quà lì_xì độc_đáo của bác sỹ người nghệ .
146,loyalty to teammates.,nghĩa_tình với đồng_đội .
147,vietnam will soon end bear captive breeding.,việt nam sẽ sớm chấm_dứt tình_trạng nuôi nhốt gấu .
148,aresolve' the inadequacy of sidewalk installation in ha tinh city.,'_hóa_giải ' bất_cập về lắp_đặt bó vỉa_hè ở thành_phố hà tĩnh .
149,"from ben tre to nghe an, he got his motorbike stolen 1 year ago.",từ bến tre ra nghệ_an nhận lại xe_máy bị mất_trộm 1 năm trước .
150,does the owner of an individual business household pay compulsory social insurance?,chủ_hộ kinh_doanh cá_thể có đóng bhxh bắt_buộc ? .
151,teachers and students sprint for the high school exam.,thầy_trò chạy nước_rút cho kỳ thi thpt .
152,"without insurance, the company loses the lawsuit against the worker.","không đóng bảo_hiểm , công_ty thua_kiện công_nhân ."
153,a group of students volunteered to clean up trash at thong nhat yard.,nhóm học_sinh tự_nguyện dọn rác ở sân thống_nhất .
154,accelerate the study of accession to the protocol on combating the smuggling of migrants.,đẩy_mạnh nghiên_cứu gia_nhập nghị_định thư về chống đưa người di_cư trái_phép .
155,myanmar denies reports of mass graves of the rohingya.,myanmar phủ_nhận thông_tin về các ngôi mộ tập_thể của người rohingya .
156,"people's court of dong anh district, hanoi: a bright spot on volunteer work.","tand huyện đông anh , hà_nội : điểm sáng về công_tác thiện nguyện ."
157,"giang hong ngoc talked about a love that lost her mind: ""i am so stupid in love"".",giang hồng_ngọc nói về mối tình mất lý_trí : ' tôi yêu ngu quá ' .
158,established vietnam animal protection association.,thành_lập hội bảo_vệ động_vật việt nam .
159,"lao cai beauties dance to t-ara music, causing a storm on facebook, making many boys sad.",mỹ_nữ lào cai nhảy nhạc t-ara gây bão facebook làm nhiều chàng trai buồn_lòng .
160,"women can sacrifice anything, as long as it is for someone who deserves it","đàn_bà có_thể hy_sinh mọi thứ , miễn_là cho người xứng_đáng ."
161,awarding u23 vietnam 'said to do'.,tặng thưởng u23 việt nam ' đã nói là phải làm ' .
162,clip: mercedes crosses the head of the container and the ending is like an action movie.,clip : mercedes tạt đầu container và cái kết như phim hành_động .
163,"thuong tin lived a life full of love, and struggled with his children in old age.","thương tín một đời lẫy_lừng tình_ái , về già lận_đận với con_thơ ."
164,commercial disputes: why should you choose mediation?.,tranh_chấp thương_mại : vì sao nên chọn hòa_giải ? .
165,4 reasons why venezuela is the worst economy in the world.,4 lý_do khiến venezuela trở_thành nền kinh_tế tồi_tệ nhất thế_giới .
166,vietnam will soon end the practice of keeping bears for bile.,việt nam sẽ sớm chấm_dứt tình_trạng nuôi nhốt gấu lấy mật .
167,discovered a dirty pig by-product processing facility in ho chi minh city.,phát_hiện cơ_sở chế_biến phụ_phẩm heo bẩn tại tp.hcm .
168,"the ""blue-bearded"" doctor could be sentenced to 300 years in prison for abusing 265 victims.",bác_sĩ '_yêu râu xanh ' có_thể sẽ lãnh án 300 năm tù vì lạm_dụng 265 nạn_nhân .
169,autism should just be a gentle puzzle.,tự_kỷ chỉ nên là một mảnh ghép nhẹ_nhàng .
170,a private university must be viewed as a business.,phải xem đại_học tư_thục là doanh_nghiệp .
171,it is unpredictable.,thật khó lường .
172,"experience in managing bear farming, confinement and conservation of bears in the wild.","kinh_nghiệm quản_lý hoạt_động nuôi , nhốt gấu và bảo_tồn gấu trong tự_nhiên ."
173,"many contracts 'trap' car buyers, what should customers do to avoid?.","nhiều hợp_đồng ' bẫy ' người mua ô_tô , khách_hàng cần làm gì để tránh ? ."
174,google and uber took each other to court over allegations of stealing trade secrets.,google và uber đưa nhau ra tòa do cáo_buộc đánh_cắp bí_mật thương_mại .
175,promise to reward vietnam u23 - slow to remind.,hứa thưởng u23 việt nam - chậm thì phải nhắc .
176,"where women turn into men, must keep their virginity for life.","nơi phụ_nữ biến thành đàn_ông , phải giữ trinh_tiết trọn đời ."
177,"hue massively issued badges, da nang strained to 'clean up' the disguised car.","huế ồ_ạt cấp phù_hiệu , đà nẵng căng_sức ' dọn ' xe trá_hình ."
178,what does the ministry of finance say about mai linh's application for debt freezing and debt rescheduling?,"bộ tài_chính nói gì về việc mai linh xin khoanh nợ , giãn nợ ? ."
179,bonus for u23 vietnam: official information will be announced.,tiền thưởng cho u23 việt nam : sẽ thông_tin chính_thức .
180,why can the 'blue-bearded lover' be rampant?.,vì_sao ' yêu râu xanh ' có_thể lộng_hành ? .
181,thinking about kindness....,suy_ngẫm về lòng tốt ....
182,sports story: behind the 'noisy' contract of goalkeeper u23 vietnam.,câu_chuyện thể_thao : phía sau bản hợp_đồng ' ồn_ào ' của thủ_môn u23 việt nam .
183,tra vinh: disciplined the judge for... often 'texting' the female court clerk.,trà_vinh : kỷ_luật chánh_án vì ... thường ' nhắn_tin ' cho nữ thư_ký tòa .
184,minister mai tien dung: aremind businesses to complete bonuses for u23 vietnam'.,bộ_trưởng mai tiến_dũng : ' nhắc_nhở các doanh_nghiệp hoàn_thành tiền thưởng cho u23 việt nam ' .
185,kindergarten isolates children who do not learn aerobics during regular school hours.,trường mẫu_giáo cô_lập trẻ không học aerobic trong giờ chính khóa .
186,shock: victims of 'blue beard' doctor numbered more than 265 women.,sốc : nạn_nhân của bác_sĩ '_yêu râu xanh ' lên đến hơn 265 phụ_nữ .
187,the case of the subject and his brother arepay the debt' with 1 bucket of water.,y_án đối_tượng cùng em_trai ' trả nợ ' bằng 1 xô nước .
188,children are disadvantaged because they do not have birth certificates.,trẻ thiệt_thòi vì không được làm giấy khai_sinh .
189,minister mai tien dung: 'told it to be done' with the promise of a bonus for u23 vietnam.,bộ_trưởng mai tiến_dũng : ' đã nói là phải làm ' với lời hứa tiền thưởng cho u23 việt nam .
190,therapist sexually abused more than 260 women.,bác_sĩ trị_liệu lạm_dụng tình_dục hơn 260 phụ_nữ .
191,fight for the people.,vì nhân_dân mà chiến_đấu .
192,u23 vietnam owes hien a thank you.,u23 việt nam nợ bầu hiển một lời cảm_ơn .
193,party membership.,danh_dự đảng_viên .
194,"the 16-year-old girl starved to death, the police investigated and discovered the creepy text 'cannot open the window, mother has nailed it'.","cô gái 16 tuổi chết_đói , cảnh_sát điều_tra phát_hiện dòng chữ rợn người ' không mở cửa_sổ được đâu , mẹ đã đóng_đinh rồi ' ."
195,the new economic policies took effect from february 2018.,những chính_sách mới về kinh_tế có hiệu_lực kể từ tháng 2/2018 .
196,the north korean citizen met the american before being murdered in malaysia.,công_dân triều tiên gặp người mỹ trước khi bị sát_hại ở malaysia .
197,trial of doan thi huong: kim chol meets an american before being murdered.,xét_xử đoàn thị hương : kim chol gặp một người mỹ trước khi bị sát_hại .
198,"asia: more than 20,000 bears are kept in captivity for bile.",châu á : hơn 20.000 cá_thể gấu nuôi nhốt để lấy mật .
199,the petitioner asked the jury to continue the trial to be vindicated.,người vái xin hđxx tiếp_tục xét_xử để được minh_oan .
200,minister mai tien dung: who said that u23 vietnam must do it immediately.,bộ_trưởng mai tiến_dũng : ai đã nói thưởng u23 việt nam phải làm ngay .
201,the entire leadership of the american gymnastics federation resigned because of the sexual abuse scandal.,toàn_bộ lãnh_đạo liên_đoàn_thể_dục dụng_cụ mỹ từ chức vì bê_bối lạm_dụng tình_dục .
202,"no one can love a person forever, it is important who will stay for them.","chẳng ai yêu mãi được một người , quan_trọng ai sẽ vì mình mà ở lại ."
203,dien bien phu city: the accountant at the political training center was sent to work as a ... janitor.,tp điện biên phủ : kế_toán trung_tâm bồi_dưỡng chính_trị bị điều xuống làm ... lao_công .
204,will officially announce the award payment for the u23 vietnam team.,sẽ công_bố chính_thức việc chi thưởng cho đội_tuyển u23 việt nam .
205,"lam dong: having their land recovered, poor people bewilderedly carrying petitions for help everywhere.","lâm đồng : bị thu_hồi đất , dân_nghèo ngơ_ngác vác đơn cầu_cứu khắp nơi ."
206,the units that have promised to reward u23 vietnam must do.,các đơn_vị đã hứa thưởng u23 việt nam thì phải làm .
207,kieu's fishing team went through truong son to find her husband.,đội câu kiều đi suốt trường_sơn tìm chồng .
208,'hot' issue of bonuses and vietjet's welcome of u23 vietnam at the government press conference.,' nóng ' vấn_đề tiền thưởng và việc vietjet đón u23 việt nam tại họp_báo chính_phủ .
209,can i refuse to appear in court as a witness?,có được từ_chối ra tòa làm nhân_chứng ? .
210,government press conference: not 'impatient' about promising rewards for u23 vietnam.,họp_báo chính_phủ : không ' sốt_ruột ' chuyện hứa thưởng cho u23 việt nam .
211,the former brazilian president is accused of corruption when he owns a luxury beachfront apartment.,cựu tổng_thống brazil bị_cáo_buộc tham_nhũng khi sở_hữu căn_hộ cao_cấp bên bờ biển .
212,brazil's president faces new charges.,tổng_thống brazil đối_mặt những cáo_buộc mới .
213,"awarding u23 vietnam awards, organizations and individuals 'said to do'.","tặng thưởng u23 việt nam , các tổ_chức , cá_nhân ' đã nói là phải làm ' ."
214,"4 subjects ""robbed"" passenger cars in gia lai to present themselves.",4 đối_tượng ' cướp ' xe_khách ở gia lai ra trình_diện .
